url,keywords,lon,lat
'undefined',,115.841,-32.107
'http://en.wikipedia.org/wiki/Zaistovec',,16.366667,46.033333
'http://en.wikipedia.org/wiki/Ivanovo_Selo',,17.25,45.666668
'http://en.wikipedia.org/wiki/Dhali,_India',cities,77.17,10.5
'http://en.wikipedia.org/wiki/Dhali,_India',towns,77.17,10.5
'http://en.wikipedia.org/wiki/Dhali,_India',tamil,77.17,10.5
'http://en.wikipedia.org/wiki/Dhali,_India',nadu,77.17,10.5
'http://en.wikipedia.org/wiki/Castle_River',rivers,173.45,-41.983334
'http://en.wikipedia.org/wiki/Castle_River',wellington,173.45,-41.983334
'http://en.wikipedia.org/wiki/Castle_River',region,173.45,-41.983334
'http://en.wikipedia.org/wiki/Castle_River',marlborough,173.45,-41.983334
'http://en.wikipedia.org/wiki/Castle_River',southland,173.45,-41.983334
'http://en.wikipedia.org/wiki/Angla',,22.716667,58.533333
'http://en.wikipedia.org/wiki/Macute',,17.633333,45.616665
'http://en.wikipedia.org/wiki/Kuhbett',mountains,8.333333,53.333332
'http://en.wikipedia.org/wiki/Kuhbett',hesse,8.333333,53.333332
'http://en.wikipedia.org/wiki/Kuhbett',mountain109359803,8.333333,53.333332
'http://en.wikipedia.org/wiki/Cookhouse',,25.816668,-32.75
'http://en.wikipedia.org/wiki/Nouamghar',populated,-16.533333,19.333334
'http://en.wikipedia.org/wiki/Nouamghar',mauritania,-16.533333,19.333334
'http://en.wikipedia.org/wiki/Nouamghar',communes,-16.533333,19.333334
'http://en.wikipedia.org/wiki/Yampupata',geoclass,-69.21667,-16.083334
'http://en.wikipedia.org/wiki/Yampupata',populated,-69.21667,-16.083334
'http://en.wikipedia.org/wiki/Yampupata',la,-69.21667,-16.083334
'http://en.wikipedia.org/wiki/Yampupata',paz,-69.21667,-16.083334
'http://en.wikipedia.org/wiki/Yampupata',department,bolivia,-69.21667,-16.083334
'http://en.wikipedia.org/wiki/Beira_Airport',airports,34.9075,-19.796389
'http://en.wikipedia.org/wiki/Beira_Airport',mozambique,34.9075,-19.796389
'http://en.wikipedia.org/wiki/Nalangi_River',river109411430,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Nalangi_River',geoclass,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Nalangi_River',stream,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Nalangi_River',rivers,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Nalangi_River',vanua,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Nalangi_River',levu,179.56667,-16.383333
'http://en.wikipedia.org/wiki/Goraul',cities,85.32397,25.92225
'http://en.wikipedia.org/wiki/Goraul',towns,85.32397,25.92225
'http://en.wikipedia.org/wiki/Goraul',vaishali,85.32397,25.92225
'http://en.wikipedia.org/wiki/Goraul',district,85.32397,25.92225
'http://en.wikipedia.org/wiki/Goraul',geoclass,85.32397,25.92225
'http://en.wikipedia.org/wiki/Goraul',populated,85.32397,25.92225
'http://en.wikipedia.org/wiki/Weigelsberg',mountain109359803,12.966666,49.1
'http://en.wikipedia.org/wiki/Weigelsberg',mountains,12.966666,49.1
'http://en.wikipedia.org/wiki/Weigelsberg',bavaria,12.966666,49.1
'http://en.wikipedia.org/wiki/Wangolodougou',populated,-5.15,9.966666
'http://en.wikipedia.org/wiki/Wangolodougou',c%c3%b4te,-5.15,9.966666
'http://en.wikipedia.org/wiki/Wangolodougou',d%27,-5.15,9.966666
'http://en.wikipedia.org/wiki/Wangolodougou',ivoire,-5.15,9.966666
'http://en.wikipedia.org/wiki/Wangolodougou',geoclass,-5.15,9.966666
'http://en.wikipedia.org/wiki/Saiqu',geoclass,88.73333,28.833334
'http://en.wikipedia.org/wiki/Saiqu',populated,88.73333,28.833334
'http://en.wikipedia.org/wiki/Saiqu',tibet,88.73333,28.833334
'http://en.wikipedia.org/wiki/Ohukotsu',,24.566668,59
'http://en.wikipedia.org/wiki/Laguna_Navidad',lakes,-64.538055,-14.110556
'http://en.wikipedia.org/wiki/Laguna_Navidad',bolivia,-64.538055,-14.110556
'http://en.wikipedia.org/wiki/Vecdaugava',neighbourhoods,24.1,57.05
'http://en.wikipedia.org/wiki/Vecdaugava',riga,24.1,57.05
'http://en.wikipedia.org/wiki/Iogi_Station',railway,139.6152,35.7249
'http://en.wikipedia.org/wiki/Iogi_Station',stations,139.6152,35.7249
'http://en.wikipedia.org/wiki/Iogi_Station',tokyo,139.6152,35.7249
'http://en.wikipedia.org/wiki/Quijorna',municipalities,-4.05,40.433334
'http://en.wikipedia.org/wiki/Quijorna',madrid,-4.05,40.433334
'http://en.wikipedia.org/wiki/Sanglai',geoclass,91.566666,30.7
'http://en.wikipedia.org/wiki/Sanglai',populated,91.566666,30.7
'http://en.wikipedia.org/wiki/Sanglai',tibet,91.566666,30.7
'http://en.wikipedia.org/wiki/Kordigast',geoclass,11.216666,50.1
'http://en.wikipedia.org/wiki/Kordigast',hill,11.216666,50.1
'http://en.wikipedia.org/wiki/Kordigast',mountains,11.216666,50.1
'http://en.wikipedia.org/wiki/Kordigast',bavaria,11.216666,50.1
'http://en.wikipedia.org/wiki/Kordigast',mountain109359803,11.216666,50.1
'http://en.wikipedia.org/wiki/Lac_de_Bise',lakes,6.7644444,46.329166
'http://en.wikipedia.org/wiki/Lac_de_Bise',rh%c3%b4ne,6.7644444,46.329166
'http://en.wikipedia.org/wiki/Lac_de_Bise',alpes,6.7644444,46.329166
'http://en.wikipedia.org/wiki/Lac_de_Bise',lake109328904,6.7644444,46.329166
'undefined',,89.11639,23.9
'undefined',,3.15,35.966667
'undefined',,11.033334,60.333332
'undefined',,-146.305,61.123
'http://en.wikipedia.org/wiki/Beder,_Aarhus',suburbs,10.2,56.05
'http://en.wikipedia.org/wiki/Beder,_Aarhus',aarhus,10.2,56.05
'http://en.wikipedia.org/wiki/Kakma',,15.5,44
'http://en.wikipedia.org/wiki/Jabal_ad_Dayt',mountains,56.366665,25.466667
'http://en.wikipedia.org/wiki/Jabal_ad_Dayt',fujairah,56.366665,25.466667
'http://en.wikipedia.org/wiki/Jabal_ad_Dayt',mountain109359803,56.366665,25.466667
'http://en.wikipedia.org/wiki/Koumogo',geoclass,18.366667,8.666667
'http://en.wikipedia.org/wiki/Koumogo',populated,18.366667,8.666667
'http://en.wikipedia.org/wiki/Koumogo',yago,18.366667,8.666667
'http://en.wikipedia.org/wiki/Koumogo',geo,18.366667,8.666667
'http://en.wikipedia.org/wiki/Koumogo',entity,18.366667,8.666667
'http://en.wikipedia.org/wiki/Koumogo',chad,18.366667,8.666667
'http://en.wikipedia.org/wiki/Racine,_Quebec',municipalities,-72.25,45.503
'http://en.wikipedia.org/wiki/Racine,_Quebec',quebec,-72.25,45.503
'http://en.wikipedia.org/wiki/Ebonou',communes,-5.35,5.133333
'http://en.wikipedia.org/wiki/Ebonou',c%c3%b4te,-5.35,5.133333
